name,model_type,metric_type,metric_value,train_time
78_RandomForest_SelectedFeatures,Random Forest,accuracy,0.9658703071672355,7.51
79_RandomForest_SelectedFeatures,Random Forest,accuracy,0.9726962457337884,8.42
80_LightGBM,LightGBM,accuracy,0.9829351535836177,7.86
81_LightGBM,LightGBM,accuracy,0.9795221843003413,6.94
82_ExtraTrees,Extra Trees,accuracy,0.9863481228668942,7.86
83_ExtraTrees,Extra Trees,accuracy,0.9829351535836177,7.61
84_RandomForest,Random Forest,accuracy,0.9863481228668942,8.16
85_RandomForest,Random Forest,accuracy,0.9761092150170648,7.74
86_LightGBM,LightGBM,accuracy,0.9829351535836177,8.61
87_LightGBM,LightGBM,accuracy,0.9829351535836177,7.33
88_ExtraTrees,Extra Trees,accuracy,0.9795221843003413,8.19
89_Xgboost,Xgboost,accuracy,0.9795221843003413,7.33
90_LightGBM,LightGBM,accuracy,0.9829351535836177,10.78
91_Xgboost,Xgboost,accuracy,0.9829351535836177,12.11
92_Xgboost,Xgboost,accuracy,0.9829351535836177,9.09
93_Xgboost,Xgboost,accuracy,0.9829351535836177,10.83
94_NearestNeighbors,Nearest Neighbors,accuracy,0.9692832764505119,9.52
95_NearestNeighbors,Nearest Neighbors,accuracy,0.9692832764505119,10.95
96_NearestNeighbors,Nearest Neighbors,accuracy,0.9692832764505119,11.04
97_ExtraTrees,Extra Trees,accuracy,0.9795221843003413,13.64
98_ExtraTrees,Extra Trees,accuracy,0.9829351535836177,8.37
99_NeuralNetwork,Neural Network,accuracy,0.9590443686006825,7.69
100_NeuralNetwork,Neural Network,accuracy,0.9488054607508533,8.99
101_DecisionTree,Decision Tree,accuracy,0.9556313993174061,10.03
102_DecisionTree,Decision Tree,accuracy,0.9522184300341296,11.02
103_DecisionTree,Decision Tree,accuracy,0.8498293515358362,10.25
104_CatBoost,CatBoost,accuracy,0.9897610921501706,11.11
105_CatBoost,CatBoost,accuracy,0.9863481228668942,8.13
106_CatBoost,CatBoost,accuracy,0.9863481228668942,10.86
107_RandomForest,Random Forest,accuracy,0.9795221843003413,11.11
108_ExtraTrees,Extra Trees,accuracy,0.9795221843003413,12.55
109_RandomForest_SelectedFeatures,Random Forest,accuracy,0.9761092150170648,15.36
110_LightGBM,LightGBM,accuracy,0.9829351535836177,7.95
111_LightGBM,LightGBM,accuracy,0.9829351535836177,8.87
112_LightGBM_SelectedFeatures,LightGBM,accuracy,0.9829351535836177,8.78
113_ExtraTrees,Extra Trees,accuracy,0.9829351535836177,9.7
114_ExtraTrees,Extra Trees,accuracy,0.9726962457337884,12.55
115_Xgboost,Xgboost,accuracy,0.9795221843003413,9.46
116_Xgboost,Xgboost,accuracy,0.9829351535836177,11.97
117_LightGBM,LightGBM,accuracy,0.9829351535836177,12.1
118_Xgboost,Xgboost,accuracy,0.9658703071672355,15.97
119_RandomForest,Random Forest,accuracy,0.9795221843003413,13.18
120_Xgboost,Xgboost,accuracy,0.9795221843003413,13.03
75_CatBoost_BoostOnErrors,CatBoost,accuracy,0.9931740614334471,12.66
Ensemble,Ensemble,accuracy,0.9931740614334471,6.35
75_CatBoost_Stacked,CatBoost,accuracy,0.9897610921501706,38.84
84_RandomForest_Stacked,Random Forest,accuracy,0.9010238907849829,16.64
82_ExtraTrees_Stacked,Extra Trees,accuracy,0.9829351535836177,17.42
116_Xgboost_Stacked,Xgboost,accuracy,0.9863481228668942,14.68
