Learner 1,Learner 2,Learner 3,Learner 5,counter
0.6184133267377206,0.4348047008037944,0.3718035129085782,0.2745417408923686,0
0.4330030946073726,0.4544478095821495,0.4126473512805632,0.3589943978943464,0
0.2488076693227993,0.1594034041147403,0.123609739319634,0.1681878475896823,0
0.1217046534681503,0.1818323529354237,0.1450566988258013,0.1247950334616276,0
0.1183967296184081,0.120254449205796,0.1331747155151399,0.0908315222707293,0
0.0884694146567028,0.1805610900893841,0.1158434865804441,0.0399381444218154,0
0.0092623093860263,0.073326526317529,0.063440011764097,0.1589019248841263,0
0.0199571516325195,0.0566077441378419,0.0930041905814985,0.0848021494689851,0
0.0277039834894885,0.0597921020043537,0.0,0.123882507201254,1
0.1090063155929235,0.0409818000798319,0.027038394754497,0.0,1
0.0073427306063559,0.0346780601745857,0.0455124156600632,0.0787517169912191,0
0.0245554757793352,0.025072059052721,0.0148179166171301,0.0173592614834575,0
0.005848497212351,0.0205724990130841,0.0272460263079349,0.0203103671075646,0
0.0185695264680594,0.0088100533160102,0.0284610598959082,0.009825562253506,0
0.0421634370108673,0.0043915567882577,0.0073477442309682,0.0059128368040588,0
0.008790842589551,0.0,0.0,0.0258166524225334,2
0.0177877564492727,0.0106071854226414,0.0,0.0,2
0.0209263160354632,0.0029159911935029,0.0,0.0,2
0.0059976666173463,0.0,0.007115735466477,0.0029904382737641,1
0.0,0.0079054883825965,0.0,0.0024201785159646,2
0.0,0.0,0.0103072412376358,0.0,3
0.001464639554244,-0.0010839514617697,0.003790516828412,0.0,4
0.0,0.0,0.0028619136183853,0.0,4
0.0012058315643756,0.0,0.0,0.0,4
0.0011378444108191,0.0,0.0,0.0,4
0.0010059538489767,0.0,0.0,0.0,4
0.0,0.00095753981769,0.0,0.0,3
0.0008863106439165,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,4
-0.0002730143708677,0.0,0.0,0.0,4
